,title,category,description,current_funding_amount,percentage,target_funding_amount,supporter
13,"한국왕실 고양이 트럼프 카드 <묘화>와 일러스트북,틴케이스",보드게임 · TRPG,여러 게임이 가능한 한국풍 왕실 모자와 머리스타일로 그린 고양이 플레잉 카드입니다. ,15991000,319,5000000,249
14,당신의 운명을 정하는 [YES/NO] 코인,예술,운명의 [YES/NO] 코인,4866000,324,1500000,159
15,아름다움의 공감 <아칸서스 그리고 능화 실버 주얼리>,주얼리,"VOVODAVIN 주얼리 팀의 첫 프로젝트 , 서양의 아칸서스와 동양의 능화의 만남 ",1434000,286,500000,20
16,[설 전 배송]조선클래식의 시작! 대창의 백운코트,의류,"[설 전 배송]울 100% 상의원의 손길로 만든 조선클래식의 시작, 대창의 백운코트",5004000,500,1000000,16
17,BERFUME | 두피와 모발 건강을 위한 다용도 머리수건,홈 · 리빙,"세안밴드, 머리 묶음 기능으로 두피를 열어두고 모발을 당기지 않는 상쾌하고 편리한 머리수건",1080100,216,500000,33
18,파리와 기억의 지속,향수 · 뷰티,영화 '미드나잇인 파리'의 모티브된 향기들을 저와 함께 만나보아요. ,770000,154,500000,16
19,글감옥 두 번째 작품집 <글감옥 수감일지 vol.2>,출판,글을 쓰고 싶어서 스스로 감옥에 갇힌 25명의 이야기를 담았습니다.,292000,58,500000,9
20,웹툰과 일러스트를 위한 꽃브러쉬,웹툰 리소스,웹툰과 일러스트에 사용할수있는 꽃소재입니다.,49651500,4965,500000,1659
21,오디오웹툰으로 만나는 <고래별_경성의 인어공주> 시즌2,웹툰 · 만화,많은 사랑을 받았던 네이버웹툰 <고래별> 오디오웹툰 펀딩이 시즌2로 돌아옵니다!,347353000,267,500000,1712
22,꼬마마법사 레미 공식 한정판 굿즈,영화 · 비디오,방영 20주년 기념 '꼬마마법사 레미' 공식 한정판 굿즈를 소개합니다!,74329000,247,500000,979
23,"한국영화 스태프들이 묻고 답하다, <영화가 뭐라고>",출판,각자 다른 분야에서 일하는 한국영화 스태프 32명의 업무와 고민을 담은 인터뷰집,17379000,1737,500000,635
24,만화가의 금융에세이 <자산소득으로 생활하기 프로젝트>,출판,1억1천400만원을 모으겠어! 노동탈출 금융에세이 <자산소득으로 생활하기 프로젝트> 단행본,12830500,366,500000,471
25,"당신을 지켜주는 영물, '메롱해치 자수 KIT'",홈 · 리빙,메롱해치 자수 키트는 쉽게 프랑스 자수를 배울 수 있는 키트입니다.,7777000,777,500000,298
26,파댕이가 돌아와따 ! [흑우 파댕이 인형],캐릭터 · 굿즈,파댕이가 돌아와따 ! 모찌 흑우 파댕이의 입양자가 되어주세요!,36523000,456,500000,683
27,"코디 걱정 없이 편하게, '나봄 저고리 셔츠&허리치마'",의류,"내가 가지고 있는 일상복과도 매치하기 쉬운 한복, 나봄 저고리 셔츠&허리치마",85799000,8579,500000,624
28,[스케치업] 로판 일러스트를 위한 평민들의 거리,웹툰 리소스,다양한 디자인으로 구성된 평민들의 거리를 제작하였습니다.,34548000,1727,500000,261
29,죽음을 연습하는 200가지 질문 -『질문의 죽음』,출판,죽음을 연습하는 질문 200개가 수록된 질문집,3822000,318,500000,226
30,로맨스 판타지 웹툰에 도움이 되는 엑스트라 브러쉬,웹툰 리소스,로맨스판타지 작품에 도움이 될만한 엑스트라의 활용도를 더 높여 돌아왔습니다!,49309000,2465,500000,531
31,"혼자하는 담력시험, 공포게임『Last Light』",디지털 게임,친구를 찾아 어두운 폐병원을 헤매는 공포 게임... 과연 설화는 친구를 찾을 수 있을까..,14010000,280,500000,493
32,[AAF] 50인의 아티스트가 해석한 <식물 합작 아트북>,출판,"팀 Artist Ability Family의 첫번째 텀블벅 프로젝트.
<마법의 숲 도서관>",23092333,209,500000,268
33,오스카 와일드 <행복한 왕자> 1888년 초판 복원,출판,1888년에 발표된 오스카 와일드의 <행복한 왕자> 초판을 복원하려고요!!!,8298000,276,500000,395
34,변호사가 알려주는 성폭력 피해자를 위한 법률가이드,출판,성폭력 피해 직후부터 재판에 이르기까지의 과정 동안 어떻게 대응해야 할지를 알려드립니다.,4912000,982,500000,251
35,"웹툰, 일러스트를 위한 100종류의 다양한 문양들",웹툰 리소스,100가지 종류의 다양한 문양 장식들을 준비 중 입니다. ,4914000,982,500000,223
36,[지갑송 장편소설] <소설 속 엑스트라 큐브 편> 애장판,출판,"지갑송 작가 퓨전 판타지 장편소설, 소설 속 엑스트라 하드커버 애장판",26742000,106,500000,152
37,매일 3분 라인이 살아나는 습관,출판,일상의 기록만 해도 라인이 살아나는 습관,5046000,504,500000,133
