,title,current_funding_amount,percentage,target_funding_amount,supporter
3135,<'위안부' 뱃지 프로젝트 : Truth Is Alive>,1698000,679,250000,290명
3136,[툰툰마켓] #4 서브캐도 방이 필요해!,6790000,679,10000,197명
3137,"여름, 사파이어 악세사리",339000,678,50000,15명
3138,"칠석, 당신의 사랑이 넘치길! 견우&직녀 별자리 뱃지",5219300,677,770000,33명
3139,스케치업 웹툰배경 - 괴담과 기담의 양옥,3388000,677,5004,121명
3140,삶과 예술을 경험하는 새로운 Ways of Curating,6776000,677,10008,340명
3141,레바툰의 읭읭이가 보드게임으로! <고읭고읭 >,20327000,677,3000000,607명
3142,[과자와 생활-2] 한아조의 순이비누,1355000,677,2001,67명
3143,만화에 최적화된 현대물 엑스트라,6774000,677,10005,164명
3144,"세상에 없던 새로운 고양이 장난감, '캣슈'",2032000,677,3001,52명
3145,"그리운 봄의 향, 데이지 향수 #RIUNS",20314050,677,3000000,475명
3146,한국 요괴 판타지 윷놀이 <묘시BackDo>,13531000,676,20016,392명
3147,후회와 걱정 때문에 잠 못 이루는 이들에게 '마음 기록장',3380000,676,5000,109명
3148,처음보는 '9개의 사이즈' 밀착핏 레깅스 <리벨리>,6757000,675,1000000,264명
3149,"리얼에세이툰 <20대 어른,첫 계약부터 호갱이 되어버렸다>",3377000,675,5002,263명
3150,웹툰스케치업-판타지시골마을,675000,675,100000,27명
3151,"웹툰 스케치업 배경""은행""",6750000,675,10000,225명
3152,유기토끼의 밥이 되는 2020년 달력,3374000,674,5005,188명
3153,"[앵콜] 조선에서 건너온 신비의 서책, ""장원실록""",3373000,674,5004,137명
3154,"한나네 보호소 및 입양을 돕는 에코백과 엽서, '에빅운스'",3371500,674,500000,160명
3155,웹툰 스케치업 배경 서울역 플랫폼 - 구 역사 업데이트,3370000,674,500000,46명
3156,"성서는 정말 동성애를 금지할까? <성서, 퀴어를 옹호하다>",13477000,673,20025,451명
3157,몰랑 별자리 키홀더 12종 - 당신의 별자리는??,13475500,673,20023,619명
3158,ssonmo의 개성만점 건강 타르트,1078000,673,160000,83명
3159,일러스트레이터 나무13의 새로운 JK매거진!,13469000,673,20013,322명
3160,[앵콜] 손으로 그린듯 배경 업그레이드! 만능 웹툰 서포터,6730000,673,10000,205명
3161,나는마테로소이다! '복슬복슬한 마스킹테이프',3365000,673,5000,169명
3162,숲을 담은 아날로그 감성 연필꽂이,2016500,672,3000,75명
3163,나만의 애니메이션 세트장,6720000,672,1000000,48명
3164,"무너진 세계의 파괴적인 관계, 『Broken Flower』",3360000,672,500000,141명
3165,<웹툰 스케치업 배경> 신사동 가로수길,3360000,672,5000,42명
3166,글 쓰는 분들 모두 주목! '에디터도 많이 틀리는 맞춤법',20144000,671,3000000,"1,392명"
3167,할머니와 함께 그리는 드로잉 안내서 <흔들리는 선>,6714000,671,10005,169명
3168,"클래식이 필요한 그 순간, 나만의 클래식 안내서",3671000,671,546908,252명
3169,레바툰 읭읭이와 신년맞이 새옷 장만! 맨투맨/후드티/에코백,46969725,670,70104,"1,015명"
3171,물개가 아니에요! 바다에서 온 <물고양이 복슬인형>,3354000,670,5005,82명
3172,연인들을 위한 질문 카드 소울브릿지 & 바디브릿지,13411500,670,20017,447명
3173,초기 SF영화 속 과학장치들을 모아 기록한 책 '기믹스',20104000,670,30005,981명
3174,"구김마저 예쁜, 린넨&코튼 스커트/파우치백/귀걸이",2010000,670,300000,67명
3175,[앵콜] <복숭아 주의보> 싱그러운 복숭아 향기를 드려요,4689000,669,7008,121명
3176,"웹툰 3D 배경 스케치업 로판, 판타지 컨셉 배경",3347000,669,5002,95명
3177,구수하고 담백한 할매 입맛의 인절미 누룽지 초콜릿!,3345700,669,5001,126명
3178,내 손 안의 작은 화원 노리개키링,3345500,669,500000,61명
3179,판타지 프로젝트 no. 01 - 판타지 왕국 패키지,6690000,669,10000,72명
3180,"동양의 아름다움 ""신기루"" 트럼프. 가죽을 더하다.",66885000,668,10000000,"1,263명"
3181,장르별(로맨스/다크/고전 판타지) 일러스트 프레임,2006000,668,3002,58명
3182,[월간 이감각] 모꼬지 매듭 작은 가방,3340500,668,5000,74명
3183,어느날 현관 앞으로 신비한 고양이가 찾아왔다?,3339000,667,5005,95명
3184,인생 마지막 덕질 만화『툇마루에서 모든 게 달라졌다』,6677160,667,1000000,566명
3185,"차곡차곡 완성해요, 위빙.",6676000,667,10008,284명
3186,스토리가 있는 방탈출 게임,33377500,667,50041,781명
3187,반지와 시계에 담아낸 왕의 상징 '오조룡',6675000,667,10007,139명
3188,웹툰 배경 스케치업_유럽 카페 세트,6675000,667,1000000,115명
3189,"혼술러를 위한 ' 깊은 밤, 연못 한 잔 ' 벚꽃 에디션",6669500,666,10014,93명
3190,'세상 어디에도 없는 당신의 치자꽃 향기?',6667500,666,1000000,104명
3191,"부드럽고 가볍게 여름까지, 코튼 린넨 자켓",3331000,666,5001,52명
3192,스케치업 웹툰 배경 - 테마 모텔,6660000,666,10000,124명
3193,사랑스러운 브러쉬 및 소재 세트,6659000,665,10013,194명
3194,국내 SM잡지 '백두산맥',6657661,665,1000000,233명
3195,"만월이 차오르면 그들을 소환하라, '액막이 부적아이템'",3325000,665,5000,112명
3196,"봄, 손목위의 반짝이는 보석",1995000,665,300000,62명
3197,알아두면 잘난 척하기 딱 좋은 우리 한자어사전,6647000,664,10010,107명
3198,"혼자서도 완전할, 하'나' 를 위한: 홀로그램",6645000,664,1000000,400명
3199,도쿄를 사로잡은 천재셰프의 《365日 생각하는 빵》,6643500,664,1000000,375명
3200,지친 당신을 100% 충전시켜줄 '생활 향수',3984500,664,6000,105명
3201,왜 고급호텔에만 가면 꿀잠을 자게될까?,6640000,664,10000,185명
3202,‘강아지가 되고 싶어요’ - 티컵강아지의 진실,1990100,663,300000,279명
3203,[웹툰스케치업배경]동양풍환타지무협사극-자연속의 객잔,6630000,663,1000000,68명
3204,세계 최초) 선이 터지면 잘라서 다시 쓰는 충전 케이블,4637100,662,700000,295명
3205,새로운 컬러로 돌아온 '무염 캐시미어',19859600,661,30044,151명
3206,"[뱃지]고요히 빛날 인어의 눈물, 찬란히 빛날 고래의 심장",1322300,661,200000,61명
3207,"요정이 걸어둔 사랑스럽고 달콤한 마법, 페어리 쥬스",13214000,660,20021,312명
3208,'공포 한 스푼' <웹툰/일러스트> 상처 브러쉬,6607000,660,10010,197명
3209,"하루만에 끝내는, 인스타 운영법 <A to Z> 노하우",3303000,660,5004,333명
3210,폐기되는 초벌 도자기로 만든 도자 귀걸이 반지 선물세트,3302000,660,5003,188명
3211,털찐 일월호작도 미니포스터,1980500,660,3000,162명
3212,"잠 못 이루는 사람들을 위한 차, <별 헤는 밤> 드립백",6601000,660,10001,234명
3213,저는 은행 경비원입니다,3300000,660,5000,144명
3214,[웹툰 스케치업 배경] 도심 공원,3300000,660,5000,66명
3215,"집으로 도자기공방을 배달해 드려요, <도캉스 키트>",3299000,659,5006,60명
3216,인디자인CC 책 한 권 뚝딱 만들기 + 편집디자인 실무,62681000,659,95115,"2,130명"
3217,몰랑 겨울시즌 한정판 피규어 세트 - 몰랑이 월동준비 끝!,13195500,659,20023,495명
3218,SF 텍스트 방탈출 게임 <A.I.>,3297900,659,500000,544명
3219,굴리굴리 2022 달력세트 &이토씨 굿즈,19780000,659,30015,513명
3220,"[퍼스널브랜딩] 자기다움 찾기 프로젝트, 인사이드 마음카드",3296000,659,5001,164명
3221,악세서리에 담긴 선조들의 벽사주문,5272500,659,8000,200명
3222,책이랑 산책하고 싶은 날엔 산'책가방',9883000,658,15019,221명
3223,집이 없어도 소액으로 시작하는 에어비앤비 호스트!,3293000,658,5004,167명
3224,방탈출 게임북 <이스케이프 퀘스트>,19757000,658,30025,738명
3225,"'나다움'을 생각하는 사람들을 위한 문구, 스토리툴킷",6585333,658,10008,103명
3226,키치하고 유쾌하고 멜랑꼴리한 [배낭여행 단상집],6583000,658,1000000,191명
3227,"""멸종위기 동물돕기 프로젝트"" 페페리코,포포리코 특대인형",13154000,657,2000000,236명
3228,모니터 밖으로 튀어나온 '디자인 툴' 세트,9863370,657,1500000,344명
3229,본격 고양이 발도장 남기기!! 넌 내꺼다냥,5259500,657,8005,205명
3230,[앵콜] 한국의 시인 - 초판 수제본 시집,3286800,657,500000,65명
3231,오직 물로만 클렌징 SOFF 페이셜 클렌저,3285500,657,500000,176명
3232,레진코믹스 <우리사이느은> 1권 단행본 제작,19712000,657,3000000,863명
3233,웹툰배경 프로젝트 07.-평민의 집 15종 패키지-스케치업,6570000,657,10000,102명
3234,스케치업 웹툰 배경 - 사이버펑크 SF 미래 도시,6570000,657,1000000,77명
3235,서로를 알아가는 OX카운팅 카드 게임,13140000,657,20000,500명
3236,"더 이상 가방을 뒤적거리지 마세요, 에가든 잇 파우치",3284300,656,5006,79명
3237,천연 다이아몬드와 단 하나뿐인 반지를 만들다.,3283600,656,5005,47명
3238,"<레트로> 다양한 일상/장소를 담은 향, 구경하고 맡아봐요",3279000,655,5006,89명
3239,"고양이 다이어트에 딱, 스파이더 캣토이",3278600,655,5005,147명
3240,"[정직한 프로젝트]입술에 감성을 입히다, 그리다 감성틴트",6557000,655,1000000,195명
3241,나와 호랑이님 다키마쿠라 제작,65552833,655,10000000,"1,218명"
3242,"음치 탈출 비결, 계명창",1311000,655,2001,51명
3243,모바일 도트 수집 인디게임 마일드티니!,6553001,655,1000000,193명
3244,코와 귀 염증까지 생각한 실리콘 티타늄 안경,3275400,655,500000,31명
3245,"아파트,원룸 실내 + 하늘,눈,비,번개 스케치업 웹툰배경",6550000,655,10000,129명
3246,"진짜 체스 실력을 원한다면, 체스의 정석 전략편&전술편",29473000,654,45065,655명
3247,[8998: 헬조선의 여자들] 출간 기념 굿즈,6548000,654,10012,464명
3248,"[봄,패션] 나폴레옹의 그녀, 조세핀 반지",5236000,654,800000,55명
3249,웹툰 조선시대 및 무협 장신구 소품 3D 클립 스튜디오,3270000,654,5000,114명
3250,북극권 여행의 기록 <ARCTIC CIRCLE>,4578000,654,700000,185명
3251,"'나'에게 집중하는 시간, Writing Desk Box",29419000,653,45052,538명
3252,겨울 엑스트라 풀 패키지 모음,6537000,653,10010,74명
3253,9살 별이의 소망::유기동물을 위해 힘을 나눠주세요,3267600,653,5003,78명
3254,주머니에 쏙! 자동 팝업 휴대폰 거치대 포켓스탠드.,6532600,653,10003,375명
3255,베트남 전쟁범죄 피해 여성을 위한 뱃지 <연꽃 뱃지>,6531000,653,10001,431명
3256,스케치업 웹툰 배경 - 아파트 단지 + 버스,3265000,653,500000,145명
3257,"우디와 유자의 환상적 하모니, '잔광'의 향기",3263000,652,5004,102명
3258,늙은 유기견의 보금자리 지켜주기 '행복을 지켜줄개',6524300,652,10006,286명
3259,조선의 하늘을 담다,7175500,652,11005,99명
3260,로판풍 중세의 마을과 귀족 저택,6523000,652,10004,75명
3261,"3개국어로 만나는 어린 왕자의 감동(일본어,영어)",19566000,652,30009,"1,008명"
3262,따뜻한 눈사람이 되어주세요. '눈사람 잔',652000,652,1000,34명
3263,"월간 중편 소설 구독 프로젝트, '포니 익스프레스'",5214000,651,800000,104명
3264,'사인검 악세서리2',6515502,651,10008,186명
3265,"발이 편안해야 하루가 즐겁다, new ""가심비"" 남여운동화",6513000,651,10004,135명
3266,"웹툰, 일러스트에 필요한 느와르 문신 소스 & 브러시",6512000,651,10003,169명
3267,"길냥이를 사랑한다면, '오구오구 길냥이 뱃지'",13024000,651,20006,852명
3268,"5월 5일, 아이들의 천진난만한 미소를 되찾아주세요.",4556605,650,7010,604명
3269,오색찬란코리아 민화상품전,13012000,650,2000000,245명
3270,크리스마스에디션 랑그드샤와 화이트슈톨렌!!,3252500,650,5003,74명
3271,드디어 완결! 웹툰 <롤랑롤랑> 단행본 4-5권 제작,26006000,650,4000000,516명
3272,"과자를 주제로한 만화책, <과자마나 vol.2>!",6501200,650,1000000,290명
3273,"감성 캠핑의 시작, ""라케스 원목 접이식 캠핑 테이블""",6500000,650,10000,102명
3274,소비 요정 일러스트레이터의 <예쁜 쓰레기에 진심입니다>,6487780,648,10012,409명
3275,팡이와 밤토리의 컴퍼니라이프<직딩 생활 스킬 업 패키지>,1297400,648,200000,29명
3276,당신이 찾고 있던 블랙: 우노 플러스 백팩,6486000,648,1000000,78명
3277,"[앵콜] 언제나 입을 수 있는 한복, 신:서울",6482400,648,1000000,82명
3278,디자인을 위한 사이즈북&견본 <수정판>,32400000,648,5000000,"1,495명"
3279,이브 클립스튜디오 #1 3D 가동신발,6480000,648,1000000,48명
3280,"시인 할머니가 전하는 마음, 그림일기와 조각들과 낙서장",3239500,647,500000,123명
3281,"우리의 아름다움을 더 가까이, 잉크타투 “스밈”",3239000,647,500000,73명
3282,민화를 프랑스식으로 담다 <민화 프린트 원피스>,12942000,647,20003,171명
3283,또바기의 스케치업 자주 쓰는 배경 3종,6470000,647,10000,91명
3284,"누군가의, 어쩌면 당신의 삶을 변화시킬 <30일>",12937187,646,2000000,793명
3285,"2022 파도일력 : 우리, 사랑이 아니면 바다에 있겠지",29108000,646,45058,779명
3286,원고 퀄리티를 높일수있는 패턴 모음집,1940000,646,3003,97명
3287,세상에 없는 오뚝이 화병,6462111,646,1000000,186명
3288,일상 프로젝트 - 주거편,6460000,646,10000,90명
3289,사이퍼즈 포지션 후드집업,58136000,645,9000000,980명
3290,이것은 독후감이 아닙니다. 읽으면서 쓰는 독중감 독서기록장,19371000,645,30032,692명
3291,레진코믹스의 대표작! <레바툰> 읭읭이 납작쿠션 4종!,64566601,645,100103,"1,565명"
3292,[스케치업 웹툰 배경] 카페 거리 & 카페 4종 패키지,6456000,645,10009,104명
3293,"내 몸에 직접 닿는, 프리미엄 실켓 60수 더블 무지티셔츠",4518000,645,7004,114명
3294,"[저탄수& 저당, 비건 ] 두부로 만든 VEGAN 브라우니",3227000,645,5003,130명
3295,"나는 돌덩이, 나는 다이아. 나를 위한 다이아몬드 암시반지",3227000,645,5003,47명
3296,"내 몸이 가벼워지는 꽃 블렌딩 붓기차, 포이티 호박팥차",3225600,645,5000,67명
3297,스케치업 웹툰배경 판타지 궁전내부#02,6450000,645,10000,99명
3298,법원 과 법원 내부 세트 스케치업 웹툰 배경,6450000,645,10000,96명
3299,"데일리아이템의 정석 ""실버 반지 kit"" 첫번째 이야기",645000,645,100000,40명
3300,"짙고 깊은 수채화의 매력, 꽃잎 수채화 하얀 KIT",6447000,644,10010,264명
3301,스케치업 웹툰 배경 - 웨딩홀,6440000,644,1000000,92명
3302,이화장 1주년 자축 쁘띠항카치 발매,32200,644,5000,9명
3303,"기억을 잇-다, 치매인식 개선 팔찌",1931300,643,3003,129명
3304,<인간실격>의 작가 다자이 오사무의 말- 내 마음의 문장들,4950000,642,7710,237명
3305,"콘텐츠 덕후들을 위한 잡지, <OMNI>",3213000,642,500000,165명
3306,위로 만화 '아카시아 얼그레이',5139120,642,8004,301명
3307,맥주 일러스트 북 <맥주도감>,19271680,642,3000000,910명
3308,빼빼로데이를 위한 길~쭉한 글라소디 초콜릿 박스,2248000,642,3501,64명
3309,타인에게 피해를 주지 않는 인남모 티셔츠,3210011,642,5000,113명
3310,몰랑 랜덤피규어 12종 (5탄) - 냐른한 몰냥이들,12838000,641,2000000,253명
3311,당신의 계절은 무엇인가요? _Your season,3208000,641,5004,62명
3312,여대생이 없는 세상:《대학생 진아 씨와 남대생 민수 씨》,7792629,641,12156,855명
3313,"화이트데이 한정, 쫀득 바삭 초콜릿&캐러멜 스프레드",6413000,641,10004,243명
